Time,Lunar Garden/Tower of Friendship,Rockery waterfall,Guo Pu Dun,Mi Fu stone,Lotus Square,Nona Tower/Lama Temple,Sakura King,Lawn,Huanliu Pavilion,Lianhu Academy,Mengchun Public House,Wind Lotus Garden,Guo Pu Memorial Museum,Close to Mother Tongue School,Gunley Art Appreciation Center,Total
,,,,,,,,,,,,,,,,
10,6.81848E-06,1.66542E-05,0.000323112,3.57885E-05,4.56336E-07,8.2584E-06,6.56522E-07,1.54971E-06,3.51175E-05,2.02754E-05,7.71177E-06,2.77179E-05,6.35224E-05,2.06473E-06,2.5331E-05,0.000323112
20,0.061537943,0.000346269,0.00298795,3.57885E-05,0.000267029,0.023568994,0.003162161,0.003204292,0.006281974,0.034003583,0.003332893,0.001399027,0.000257979,6.16242E-05,0.002892994,0.061537943
30,0.093337516,0.002584179,0.031968067,0.000393674,0.002959861,0.110444145,0.014323035,0.0153511,0.03582792,0.103248428,0.015489293,0.010006177,0.004211927,0.001371932,0.020457427,0.110444145
40,0.105086275,0.006348725,0.096590397,0.001467331,0.009145241,0.219179771,0.027651069,0.032944045,0.076179239,0.159843197,0.031136719,0.024798805,0.018277612,0.005660213,0.049970454,0.219179771
50,0.109402145,0.010460234,0.178534177,0.004330414,0.018014418,0.327996363,0.041285056,0.053459309,0.112816212,0.196647427,0.045689572,0.04134204,0.042325395,0.012708082,0.082231657,0.327996363
60,0.110990625,0.014155387,0.259145537,0.008267155,0.028555318,0.433088577,0.05499553,0.074284516,0.140504983,0.218399389,0.057248932,0.056543143,0.071429046,0.021145672,0.11126674,0.433088577
70,0.111575066,0.017156615,0.327765125,0.012919666,0.040054072,0.534699308,0.068412801,0.093205788,0.159245554,0.230608696,0.065607493,0.069030805,0.100338241,0.029563409,0.134566499,0.534699308
80,0.13739536,0.019568006,0.383060521,0.017930063,0.052090489,0.641410817,0.082263503,0.110370717,0.173596442,0.251413004,0.072664176,0.079125971,0.125812038,0.037028194,0.153206305,0.641410817
90,0.15071012,0.022152879,0.435357974,0.022224689,0.065098313,0.767068072,0.098013658,0.127816071,0.193012349,0.283765465,0.081404179,0.089687966,0.148044894,0.043659147,0.173040971,0.767068072
100,0.155625417,0.024859189,0.490986474,0.026519315,0.079082062,0.891510855,0.112922444,0.144361114,0.213778927,0.309197849,0.090227105,0.100745966,0.169629562,0.050111422,0.193831524,0.891510855
110,0.157431189,0.027357321,0.544616346,0.030456055,0.09331883,1.004051824,0.126135747,0.159489276,0.231506495,0.325506311,0.097698399,0.110987016,0.191084592,0.056464431,0.213068761,1.004051824
120,0.158098051,0.029421749,0.591584122,0.034750681,0.107108298,1.102504931,0.137685435,0.172713504,0.244169043,0.335048965,0.103361988,0.119535813,0.211308065,0.062400523,0.228960391,1.102504931
130,0.158345314,0.031017778,0.629224964,0.038329536,0.119994131,1.187760787,0.147654371,0.183650058,0.252779575,0.340404311,0.107333963,0.126246473,0.228938785,0.067582196,0.241147956,1.187760787
140,0.231010785,0.032596458,0.660536815,0.041908391,0.132039584,1.288480906,0.159796842,0.196033012,0.265442123,0.383423387,0.113909696,0.132782071,0.24352302,0.071870477,0.253335522,1.288480906
150,0.268557359,0.036048738,0.715166001,0.044771475,0.145657361,1.452353512,0.179862194,0.216828701,0.303429767,0.466640617,0.129946857,0.146495159,0.259273994,0.076694793,0.280219858,1.452353512
160,0.282426589,0.04106235,0.80610361,0.048708215,0.16204478,1.631042662,0.201062119,0.242244013,0.352729287,0.53421054,0.149466751,0.166364546,0.284034784,0.084179432,0.319291761,1.631042662
170,0.287529206,0.046301488,0.91236404,0.053718612,0.180257541,1.799692186,0.221369684,0.269710852,0.397132622,0.578045039,0.167278448,0.187546889,0.318259122,0.09424498,0.360155952,1.799692186
180,0.289402414,0.050916093,1.013961002,0.059802665,0.199152546,1.95498253,0.240702026,0.29646925,0.430224081,0.603918193,0.181300598,0.206570151,0.356631865,0.105402452,0.396240705,1.95498253
190,0.290091754,0.054628594,1.099568935,0.066602489,0.217984297,2.098532989,0.258842431,0.320275811,0.452679,0.618441539,0.19137565,0.222004668,0.393513775,0.116143007,0.424917331,2.098532989
200,0.342391712,0.057699215,1.168188522,0.072686543,0.236486221,2.250260885,0.277951684,0.342606454,0.472094906,0.655113539,0.201011214,0.234871628,0.425534274,0.125533548,0.448695033,2.250260885
