t,stock,v
3,2,0.64
4,2,0.64
5,4,0.69
6,4,0.69
7,4,0.79
8,4,0.79
9,4,0.83
10,4,0.83
11,4,0.77
12,4,0.77
13,4,0.86
14,5,0.86
15,6,0.76
16,8,0.76
17,9,0.76
18,11,0.76
19,11,0.77
20,13,0.77
21,13,0.68
22,13,0.68
23,13,0.75
24,14,0.75
25,18,0.74
26,18,0.74
27,18,0.55
28,18,0.55
29,18,0.75
30,21,0.75
31,24,0.7
32,24,0.7
33,26,0.63
34,26,0.63
35,32,0.61
36,32,0.61
37,34,0.56
38,34,0.56
39,34,0.5
40,34,0.5
41,34,0.58
42,34,0.58
43,34,0.58
44,34,0.58
45,34,0.53
46,34,0.53
47,34,0.64
48,34,0.64
49,36,0.58
50,37,0.58
51,37,0.52
52,37,0.52
53,38,0.6
54,39,0.6
55,39,0.57
56,41,0.57
57,42,0.61
58,43,0.61
59,45,0.53
60,45,0.53
61,45,0.5
62,45,0.5
63,45,0.47
64,46,0.47
65,49,0.45
66,49,0.45
67,52,0.53
68,54,0.53
69,55,0.46
70,55,0.46
71,55,0.41
72,55,0.41
73,55,0.48
74,55,0.48
75,55,0.41
76,55,0.41
77,55,0.42
78,55,0.42
79,55,0.47
80,55,0.47
81,55,0.38
82,55,0.38
83,55,0.44
84,55,0.44
85,55,0.39
86,55,0.39
87,55,0.41
88,55,0.41
89,59,0.48
90,59,0.48
91,59,0.4
92,59,0.4
93,59,0.38
94,59,0.38
95,59,0.36
96,61,0.36
97,62,0.4
98,64,0.4
99,64,0.42
100,64,0.42
101,64,0.48
102,64,0.48
103,64,0.49
104,64,0.49
105,64,0.42
106,64,0.42
107,64,0.47
108,65,0.47
109,71,0.53
110,71,0.53
111,71,0.54
112,73,0.54
113,73,0.43
114,73,0.43
115,73,0.37
116,73,0.37
117,73,0.35
118,73,0.35
119,74,0.36
120,76,0.36
121,76,0.49
122,79,0.49
123,80,0.5
124,81,0.5
125,81,0.4
126,81,0.4
127,81,0.42
128,81,0.42
129,82,0.42
130,83,0.42
131,83,0.33
132,83,0.33
133,83,0.37
134,83,0.37
135,86,0.46
136,86,0.46
137,86,0.44
138,87,0.44
139,89,0.46
140,89,0.46
141,89,0.37
142,90,0.37
143,92,0.43
144,92,0.43
145,92,0.41
146,92,0.41
147,92,0.42
148,94,0.42
149,94,0.37
150,94,0.37
151,94,0.48
152,94,0.48
153,94,0.4
154,94,0.4
155,95,0.38
156,96,0.38
157,97,0.45
158,97,0.45
159,97,0.44
160,97,0.44
161,97,0.45
162,97,0.45
163,97,0.46
164,97,0.46
165,97,0.44
166,97,0.44
167,98,0.4
168,99,0.4
169,99,0.39
170,99,0.39
171,99,0.43
172,99,0.43
173,100,0.45
174,103,0.45
175,104,0.43
176,104,0.43
177,104,0.42
178,103,0.42
179,103,0.44
180,104,0.44
181,107,0.5
182,107,0.5
183,111,0.53
184,114,0.53
185,115,0.53
186,117,0.53
187,117,0.45
188,117,0.45
189,117,0.45
190,117,0.45
191,117,0.42
192,117,0.42
193,118,0.5
194,117,0.5
195,117,0.48
196,119,0.48
197,119,0.47
198,119,0.47
199,119,0.42
200,119,0.42
201,119,0.37
202,119,0.37
203,121,0.42
204,121,0.42
205,121,0.35
206,121,0.35
207,121,0.38
208,121,0.38
209,121,0.38
210,121,0.38
211,121,0.37
212,121,0.37
213,121,0.31
214,121,0.31
215,121,0.36
216,122,0.36
217,124,0.42
218,126,0.42
219,126,0.38
220,126,0.38
221,126,0.45
222,126,0.45
223,126,0.45
224,126,0.45
225,126,0.39
226,126,0.39
227,126,0.41
228,126,0.41
229,126,0.33
230,126,0.33
231,127,0.35
232,128,0.35
233,128,0.41
234,128,0.41
235,128,0.4
236,129,0.4
237,131,0.45
238,132,0.45
239,134,0.43
240,134,0.43
241,134,0.39
242,138,0.39
243,139,0.42
244,139,0.42
245,139,0.41
246,141,0.41
247,143,0.46
248,144,0.46
249,144,0.39
250,144,0.39
251,144,0.41
252,146,0.41
253,146,0.41
254,146,0.41
255,147,0.37
256,149,0.37
257,149,0.4
258,148,0.4
259,147,0.43
260,147,0.43
261,147,0.42
262,146,0.42
263,146,0.39
264,146,0.39
265,146,0.39
266,146,0.39
267,146,0.39
268,145,0.39
269,145,0.4
270,145,0.4
271,145,0.42
272,145,0.42
273,145,0.41
274,146,0.41
275,145,0.42
276,145,0.42
277,145,0.43
278,147,0.43
279,147,0.43
280,149,0.43
281,150,0.47
282,152,0.47
283,152,0.48
284,152,0.48
285,152,0.44
286,152,0.44
287,155,0.42
288,158,0.42
289,158,0.46
